path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,2,0.03446,0.1314,9.971e-05,0.05271,157000.0,0.9914,0.2003
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,3,0.01698,0.03715,9.884e-05,0.01891,235400.0,0.9979,0.3004
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,4,0.0009064,0.01949,9.74e-05,0.004714,313600.0,1.0,0.4005
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,5,9.229e-05,0.000541,9.541e-05,0.0006161,391800.0,1.0,0.5006
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,6,0.000195,0.0005039,9.289e-05,0.0008821,470300.0,1.0,0.6008
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,7,2.387e-05,0.001092,8.987e-05,0.000201,548400.0,1.0,0.7009
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,8,8.334e-05,0.0002373,8.639e-05,0.0004677,626700.0,1.0,0.801
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,9,0.00202,0.0002075,8.248e-05,0.00139,704900.0,0.9991,0.9011
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,10,2.64e-05,0.002128,7.82e-05,0.000204,782300.0,1.0,1.0
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,11,4.78e-05,9.7e-05,7.358e-05,0.0003108,860500.0,1.0,1.1
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,12,3.934e-05,0.000707,6.87e-05,0.0002797,938800.0,1.0,1.2
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,13,1.663e-05,0.0001573,6.359e-05,0.0001514,1017000.0,1.0,1.3
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,14,1.371e-05,0.0002954,5.833e-05,0.0001417,1095000.0,1.0,1.401
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,15,0.0009771,0.07893,5.297e-05,0.001166,1174000.0,0.9996,1.501
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,16,1.057e-05,0.0005599,4.757e-05,0.0001067,1252000.0,1.0,1.601
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,17,7.631e-06,0.0002197,4.22e-05,8.119e-05,1331000.0,1.0,1.701
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,18,8.832e-06,0.0002638,3.693e-05,9.672e-05,1409000.0,1.0,1.801
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,19,6.362e-06,5.629e-05,3.18e-05,7.055e-05,1487000.0,1.0,1.901
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,20,1.022e-05,6.47e-05,2.689e-05,0.0001064,1565000.0,1.0,2.0
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,21,1.037e-05,0.0001362,2.225e-05,0.0001031,1643000.0,1.0,2.1
